protein	comparison	logFC	pvalue	qvalue
A6NE01	ecoli_2-ecoli_1	0.18349660012688435	0.16727460792576979	1
A6NE01	ecoli_3-ecoli_1	-0.27518920816480813	0.05687075501168094	0.247404805462877
A6NE01	ecoli_7-ecoli_1	-0.3368658945710593	0.028182694384812464	0.8370820153369796
A6NE01	ecoli_3-ecoli_2	-0.4586858082916925	0.00790540933945352	0.05768116260708757
A6NE01	ecoli_7-ecoli_2	-0.5203624946979437	0.004425447230666307	0.27207330295109594
A6NE01	ecoli_7-ecoli_3	-0.06167668640625118	0.6160142175341241	1
A6NEC2, P55786	ecoli_2-ecoli_1	0	1	1
A6NEC2, P55786	ecoli_3-ecoli_1	0	1	1
A6NEC2, P55786	ecoli_7-ecoli_1	0	1	1
A6NEC2, P55786	ecoli_3-ecoli_2	0	1	1
A6NEC2, P55786	ecoli_7-ecoli_2	0	1	1
A6NEC2, P55786	ecoli_7-ecoli_3	0	1	1
A6NEY3	ecoli_2-ecoli_1	2.9767023024465926e-15	0.9999999378173274	1
A6NEY3	ecoli_3-ecoli_1	-1.494446898339721e-15	0.9999999687813249	1
A6NEY3	ecoli_7-ecoli_1	-1.9047030024431576e-16	0.9999999960211163	1
A6NEY3	ecoli_3-ecoli_2	-4.471149200786313e-15	0.9999999065986525	1
A6NEY3	ecoli_7-ecoli_2	-3.1671726026909084e-15	0.9999999338384438	1
A6NEY3	ecoli_7-ecoli_3	1.3039765980954052e-15	0.9999999727602087	1
A6NGY1	ecoli_2-ecoli_1	0.05936098563789526	0.7091641466047812	1
A6NGY1	ecoli_3-ecoli_1	-0.19334498913267367	0.24577936910573794	0.6832258570828106
A6NGY1	ecoli_7-ecoli_1	-0.11007742665553556	0.4944660581787349	1
A6NGY1	ecoli_3-ecoli_2	-0.25270597477056894	0.14154894074508662	0.4293427586580826
A6NGY1	ecoli_7-ecoli_2	-0.16943841229343082	0.30374021278714874	1
A6NGY1	ecoli_7-ecoli_3	0.08326756247713812	0.6026303077393953	1
A6NHG4, P30046	ecoli_2-ecoli_1	0	1	1
A6NHG4, P30046	ecoli_3-ecoli_1	0	1	1
A6NHG4, P30046	ecoli_7-ecoli_1	0	1	1
A6NHG4, P30046	ecoli_3-ecoli_2	0	1	1
A6NHG4, P30046	ecoli_7-ecoli_2	0	1	1
A6NHG4, P30046	ecoli_7-ecoli_3	0	1	1
A6NHQ2, P22087	ecoli_2-ecoli_1	0	1	1
A6NHQ2, P22087	ecoli_3-ecoli_1	0	1	1
A6NHQ2, P22087	ecoli_7-ecoli_1	0	1	1
A6NHQ2, P22087	ecoli_3-ecoli_2	0	1	1
A6NHQ2, P22087	ecoli_7-ecoli_2	0	1	1
A6NHQ2, P22087	ecoli_7-ecoli_3	0	1	1
A6NHR9	ecoli_2-ecoli_1	-1.4154271857710756e-15	0.9999999433961658	1
A6NHR9	ecoli_3-ecoli_1	-2.1173587128910742e-15	0.9999999153254773	1
A6NHR9	ecoli_7-ecoli_1	-3.6814622667353244e-15	0.9999998527759805	1
A6NHR9	ecoli_3-ecoli_2	-7.019315271199989e-16	0.9999999719293113	1
A6NHR9	ecoli_7-ecoli_2	-2.2660350809642493e-15	0.9999999093798146	1
A6NHR9	ecoli_7-ecoli_3	-1.5641035538442506e-15	0.9999999374505033	1
A6NI28	ecoli_2-ecoli_1	-0.14352202234808262	0.09803527938608686	1
A6NI28	ecoli_3-ecoli_1	-0.17265664874719303	0.05593469790497465	0.24497702397011706
A6NI28	ecoli_7-ecoli_1	-0.09778959845273531	0.2329948584714548	1
A6NI28	ecoli_3-ecoli_2	-0.029134626399110408	0.7078236545498298	1
A6NI28	ecoli_7-ecoli_2	0.04573242389534731	0.5595651602216474	1
A6NI28	ecoli_7-ecoli_3	0.07486705029445771	0.3501030655915638	1
A6NIY4	ecoli_2-ecoli_1	0.012080845485661015	0.8800839861825718	1
A6NIY4	ecoli_3-ecoli_1	-0.058523644854039186	0.47239308686642933	1
A6NIY4	ecoli_7-ecoli_1	-0.04700788369517717	0.5614072157851691	1
A6NIY4	ecoli_3-ecoli_2	-0.0706044903397002	0.38964183832081056	0.88474173120995
A6NIY4	ecoli_7-ecoli_2	-0.059088729180838184	0.46827538451227957	1
A6NIY4	ecoli_7-ecoli_3	0.011515761158862017	0.8856455538725554	1
A6NIZ1, P61224	ecoli_2-ecoli_1	6.761087707230794e-23	0.9999999999995846	1
A6NIZ1, P61224	ecoli_3-ecoli_1	-2.335462661130673e-22	0.999999999998565	1
A6NIZ1, P61224	ecoli_7-ecoli_1	-1.0413167191875127e-22	0.9999999999993602	1
A6NIZ1, P61224	ecoli_3-ecoli_2	-3.0115714318537523e-22	0.9999999999981496	1
A6NIZ1, P61224	ecoli_7-ecoli_2	-1.7174254899105922e-22	0.9999999999989448	1
